2023-07-12,16:11:17.278221,CTS,-43,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:11:27.447884,CTS,-42,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:11:27.447884,CTS,-42,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:11:35.407117,FPT TELECOM,-53,5260000,b8:3a:5a:e5:27:92:
2023-07-12,16:11:35.407117,FPT TELECOM,-53,5260000,b8:3a:5a:e5:27:92:
2023-07-12,16:11:42.190497,CTS,-42,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:11:42.190497,CTS,-42,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:11:50.529060,FPT TELECOM,-53,5260000,b8:3a:5a:e5:27:92:
2023-07-12,16:11:50.529060,CTS,-43,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:11:50.529060,CTS,-43,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:11:50.529060,FPT TELECOM,-53,5260000,b8:3a:5a:e5:27:92:
2023-07-12,16:28:37.545528,FPT TELECOM,-52,2412000,b8:3a:5a:e4:e2:02:
2023-07-12,16:28:37.545528,FPT TELECOM,-49,2412000,b8:3a:5a:e5:27:82:
2023-07-12,16:28:37.545528,CTS,-40,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:28:37.545528,HoangAnh,-85,2412000,04:18:d6:a9:3d:a3:
2023-07-12,16:28:37.545528,CTS,-40,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:28:37.545528,FPT TELECOM,-52,2412000,b8:3a:5a:e4:e2:02:
2023-07-12,16:28:37.545528,FPT TELECOM,-49,2412000,b8:3a:5a:e5:27:82:
2023-07-12,16:28:52.529816,CTS,-40,2412000,a4:83:7a:b1:05:8c:
2023-07-12,16:28:52.529816,CTS,-40,2412000,a4:83:7a:b1:05:8c:
2023-07-12,23:38:25.927775,C23.11,-37,2412000,30:4f:75:12:f9:68:
2023-07-12,23:38:25.927775,C23.11,-46,5805000,30:4f:75:12:f9:69:
2023-07-12,23:38:25.927775,C23.11,-37,2412000,30:4f:75:12:f9:68:
2023-07-12,23:38:25.927775,C23.11,-46,5805000,30:4f:75:12:f9:69:
2023-07-12,23:38:29.030182,C23.11,-46,5805000,30:4f:75:12:f9:69:
2023-07-12,23:38:29.030182,C23.11,-37,2412000,30:4f:75:12:f9:68:
2023-07-12,23:38:29.030182,C23.11,-46,5805000,30:4f:75:12:f9:69:
2023-07-12,23:38:29.030182,C23.11,-37,2412000,30:4f:75:12:f9:68:
2023-07-12,23:38:29.030182,Thao@ 2.4G,-71,2462000,58:9b:4a:37:0a:2d:
2023-07-12,23:38:29.030182,To Nhi 2.4G,-67,2457000,24:0b:2a:58:4c:f1:
2023-07-12,23:38:29.030182,Ngo Gia 2.4G,-84,2427000,c0:94:ad:9b:9c:93:
2023-07-12,23:38:29.030182,D23.06,-88,2422000,24:0b:2a:48:89:71:
2023-07-12,23:38:29.030182,Sansan,-86,2442000,a0:09:2e:12:f2:86:
2023-07-12,23:38:29.030182,Gia han,-89,2437000,34:b7:a3:37:ca:10:
2023-07-12,23:46:39.294551,C23.11,-38,2412000,30:4f:75:12:f9:68:
2023-07-12,23:46:39.294551,C23.11,-45,5805000,30:4f:75:12:f9:69:
2023-07-12,23:46:39.294551,C23.11,-38,2412000,30:4f:75:12:f9:68:
2023-07-12,23:46:39.294551,C23.11,-45,5805000,30:4f:75:12:f9:69:
2023-07-12,23:47:42.288201,C23.11,-37,2412000,30:4f:75:12:f9:68:
2023-07-12,23:47:42.288201,C23.11,-45,5805000,30:4f:75:12:f9:69:
2023-07-12,23:47:42.288201,C23.11,-37,2412000,30:4f:75:12:f9:68:
2023-07-12,23:47:42.288201,C23.11,-45,5805000,30:4f:75:12:f9:69:
2023-07-12,23:48:35.113081,C23.11,-49,5805000,30:4f:75:12:f9:69:
2023-07-12,23:48:35.113081,C23.11,-40,2412000,30:4f:75:12:f9:68:
2023-07-12,23:48:35.113081,C23.11,-49,5805000,30:4f:75:12:f9:69:
2023-07-12,23:48:35.113081,C23.11,-40,2412000,30:4f:75:12:f9:68:
2023-07-12,23:48:35.113081,Thao@ 2.4G,-70,2462000,58:9b:4a:37:0a:2d:
2023-07-12,23:48:35.113081,To Nhi 2.4G,-67,2457000,24:0b:2a:58:4c:f1:
2023-07-12,23:48:35.113081,Ngo Gia 2.4G,-91,2427000,c0:94:ad:9b:9c:93:
2023-07-12,23:48:35.113081,Dieu Van Trinh,-89,2442000,50:42:89:45:e0:94:
2023-07-12,23:48:35.113081,C24.09 2.4G,-88,2437000,58:9b:4a:39:fe:cd:
2023-07-12,23:49:53.084735,C23.11,-39,2412000,30:4f:75:12:f9:68:
2023-07-12,23:49:53.084735,C23.11,-51,5805000,30:4f:75:12:f9:69:
2023-07-12,23:49:53.084735,C23.11,-39,2412000,30:4f:75:12:f9:68:
2023-07-12,23:49:53.084735,C23.11,-51,5805000,30:4f:75:12:f9:69:
2023-07-12,23:49:55.101409,C23.11,-51,5805000,30:4f:75:12:f9:69:
2023-07-12,23:49:55.101409,C23.11,-39,2412000,30:4f:75:12:f9:68:
2023-07-12,23:49:55.101409,C23.11,-51,5805000,30:4f:75:12:f9:69:
2023-07-12,23:49:55.101409,C23.11,-39,2412000,30:4f:75:12:f9:68:
2023-07-12,23:49:55.101409,Thao@ 2.4G,-71,2462000,58:9b:4a:37:0a:2d:
2023-07-12,23:49:55.101409,To Nhi 2.4G,-79,2457000,24:0b:2a:58:4c:f1:
2023-07-12,23:49:55.101409,Thuy Linh,-79,2437000,58:9b:4a:39:d6:d5:
2023-07-13,00:20:13.559592,C23.11,-34,2412000,30:4f:75:12:f9:68:
2023-07-13,00:20:13.559592,C23.11,-41,5805000,30:4f:75:12:f9:69:
2023-07-13,00:20:13.559592,C23.11,-34,2412000,30:4f:75:12:f9:68:
2023-07-13,00:20:13.559592,C23.11,-41,5805000,30:4f:75:12:f9:69:
2023-07-13,00:20:16.058532,C23.11,-41,5805000,30:4f:75:12:f9:69:
2023-07-13,00:20:16.058532,C23.11,-34,2412000,30:4f:75:12:f9:68:
2023-07-13,00:20:16.058532,C23.11,-41,5805000,30:4f:75:12:f9:69:
2023-07-13,00:20:16.058532,C23.11,-34,2412000,30:4f:75:12:f9:68:
2023-07-13,00:20:16.058532,Thao@ 2.4G,-77,2462000,58:9b:4a:37:0a:2d:
2023-07-13,00:20:16.058532,To Nhi 2.4G,-72,2457000,24:0b:2a:58:4c:f1:
2023-07-13,00:20:16.058532,My An,-90,2447000,e8:6e:44:34:db:ae:
